cluster_id,ra,dec,redshift_z,shear_magnitude
RDM_0,1.0,-1.0,0.8414382469857911,0.05231237612566394
RDM_1,1.1,-1.0,0.8914382469857911,0.041130637948957265
RDM_2,1.2618033988700001,-1.0,0.9723399464207911,0.0857483223882067
RDM_3,1.5236067977288434,-1.0,1.1032416458502128,0.04545989763023802
RDM_4,2.2868873167590342,-1.2871664752584353,1.3314907227637411,0.0639999234590719
RDM_5,0.1074870664807398,-2.8914055743217695,0.13780059456347296,0.05111419318225431
RDM_6,2.2500963950753494,-0.6569331727311374,1.367792301106472,0.04023894382880567
RDM_7,3.4561355304465287,-0.4534779628902168,1.3960446197283762,0.05273182035476423
RDM_8,0.7761547635601618,-3.6506461231428924,0.8191371441974159,0.017573521255400917
RDM_9,3.9285178335694275,-2.0622439644584913,0.3475627066228725,0.054684529203748826
RDM_10,0.4602254752181706,-0.17901171220143475,0.6031415152089243,0.09183132710951952
RDM_11,2.759703135160632,-3.970424403347362,0.616764526165202,0.022967653932192834
RDM_12,0.9749208589054281,-2.5158098380651306,0.6127176432005953,0.03359583339619366
RDM_13,0.38863068797342415,-1.6938219787428066,0.6956408896807459,0.07544717553095873
RDM_14,0.7248884262415489,-1.9177951294726587,0.29810567826217654,0.08405371023395568
RDM_15,2.2947949045220377,-2.8296111916713036,1.0881786373052047,0.022107595919752476
RDM_16,3.2384041322213153,-4.37300270771546,1.4991297815460647,0.08471386030573273
RDM_17,2.0866276184822667,-1.780327848859919,0.8604886453675265,0.017028101462804687
RDM_18,4.835159514271033,-3.96910942532164,0.3038063405036384,0.08266451980236367
RDM_19,2.349015253796478,-4.780593159652112,0.3993598145327628,0.060632945262364644
RDM_20,0.40645759951148996,-0.4563571032021265,1.0730098301499373,0.06614058604767559
RDM_21,4.865826526475668,-0.6962552120210441,0.31708044498949206,0.028994801785537545
RDM_22,1.946742929636767,-2.7325073220073017,1.3409575011537695,0.03484019314831152
RDM_23,3.1779451363163966,-1.0990763544285431,0.6084891206713248,0.08116281061712904
RDM_24,3.722404687609133,-3.0494767465691686,1.1892843920830614,0.02547820570403386
RDM_25,0.3707742959644017,-2.843898264226681,1.4929351565963906,0.06685503835775397
RDM_26,4.363324668853329,-3.677588749292054,0.12859290895638967,0.03279791831424206
RDM_27,1.2558625684480922,-3.8762576734766485,0.8784676235032184,0.0841230691917514
RDM_28,0.19394541977992452,-1.2531871424971102,1.2734027704320872,0.019509636316037738
RDM_29,1.5445253825768834,-1.8799855710145925,0.8890863146337497,0.07581835084416973
RDM_30,0.5613992341704033,-3.172307075476024,0.3048142088226511,0.027257890520039997
RDM_31,4.114029532103087,-3.392812514269528,0.9483204993183737,0.033899406825505386
RDM_32,1.4402551261024792,-2.7346943387460234,0.17216463120826492,0.023411973715882804
RDM_33,2.7516493481698356,-1.1706878584362332,1.1670988289846242,0.025694891318979632
RDM_34,2.4762988191046875,-4.167774798957913,0.6961500191311069,0.03620727391939268
RDM_35,0.7544231027981663,-4.288241428096613,1.2085847135290713,0.08053788008508089
RDM_36,2.703348506970741,-4.149613705020339,1.3775288683761056,0.09152601095786363
RDM_37,3.346337357568757,-1.068362733107671,0.2899228856003528,0.0469340290086952
RDM_38,3.0405967565495047,-2.155094281691327,1.4216369378085207,0.05222410075465967
RDM_39,3.518819906796003,-3.471663996679015,1.1808733238107672,0.0779680025079677
RDM_40,0.40148296989001575,-2.5201736703335116,0.48013746251548006,0.04250304596208178
RDM_41,2.373857502289986,-0.35573954675466357,0.6461876496205136,0.08129654405907741
RDM_42,2.7526540118010696,-0.08993772075348616,0.44634695533039215,0.035495657170867154
RDM_43,0.3285069807472152,-1.982850919207364,1.2123444621233486,0.038700249337352985
RDM_44,4.1049792975321555,-2.2384346206384595,0.6575815742593767,0.06361768601743012
RDM_45,1.4582816661210962,-4.781415821932283,0.5122654215656754,0.08509344595387897
RDM_46,1.0725251142896364,-3.720182263468982,0.7883419282847299,0.0473721508762346
RDM_47,2.8766942849367783,-2.936253117656828,0.4054407629023735,0.01440472384500507
RDM_48,4.973692024778684,-1.4162525042241643,1.2295342154365456,0.041160566479255346
RDM_49,1.8741528769961695,-4.019240677843115,1.4971762983310777,0.05440116858774099
