day_of_year,cp_asymmetry_avg,sm_baseline
1,0.0043584273137407935,0.0003619254433586681
2,0.0655804927644796,0.060445387062566275
3,0.06302254279234379,0.05680600214362272
4,0.02055816130758822,0.013343217197924388
5,0.05344625938939804,0.04533913674283642
6,0.01485236205170426,0.005979073243647235
7,0.021643423420946706,0.012145748987854251
8,0.007795085502224476,-0.002173913043478261
9,0.027811545537138035,0.0175307720999627
10,0.007908916105781727,-0.0025225225225225223
11,0.0056396298853460805,-0.004784688995215311
12,0.005803123318958067,-0.004464285714285714
13,0.022118743919689217,0.012145748987854251
14,0.07483902494331124,0.06528189910979229
15,0.012010727397912563,0.0029717682020802376
16,0.052138089415460956,0.043698085951607075
17,0.02959852407492572,0.02064469395146686
18,0.0017660894783590965,-0.007622504537205082
19,0.04173018291274203,0.032005689900426744
20,-0.011128052540904664,-0.021072088724584104
21,0.03353705519057876,0.023504273504273504
22,0.012828976177681013,0.002849002849002849
23,-0.0011300404981299788,-0.01090909090909091
24,0.035397148262808764,0.025969138125705685
25,0.03169794856801313,0.022768341163715216
26,0.03558666824062569,0.02729528535980149
27,0.03833989679874768,0.030814380044020543
28,0.05508769404147614,0.04843918191603875
29,0.021632508611657077,0.015951790145338533
30,0.006443826765710561,0.001081081081081081
31,0.018363982105855423,0.013015184381778741
32,0.05639590386518495,0.051094890510948905
33,0.03605214833332508,0.02964569775849602
34,0.012297203779342378,0.004830917874396135
35,0.04869404609267918,0.040240691989469723
36,0.026387955334651568,0.017045454545454544
37,0.028909786409090213,0.018798378179137487
38,0.0362307939780416,0.025489471739933506
39,0.050611593138532585,0.03939393939393939
40,0.07458681311401819,0.06305637982195846
41,0.04202142300789036,0.030346820809248554
42,0.01899227416176158,0.007342143906020558
43,0.04485782873531163,0.033395872420262665
44,0.030111719679457763,0.018991964937910884
45,-0.008175776829221465,-0.01881331403762663
46,0.04502389733586348,0.034990791896869246
47,0.05965088429477394,0.0503235082674335
48,0.024180237581862107,0.01563663440059568
49,0.022015757016839922,0.013138686131386862
50,0.0028852950680891996,-0.00625229863920559
51,0.020582503729335858,0.01127554615926709
52,0.03426697734501611,0.02489780750650316
53,0.020144202195478578,0.010833022039596563
54,0.028106037248740452,0.018982536066818528
55,0.04143304628854011,0.032632342277012324
56,0.034358623728133364,0.02601685599120557
57,0.02405667690359791,0.016306408797876374
58,0.035461888216924135,0.028427491903562432
59,0.0393400808254378,0.03276917536910335
60,0.04729659474942503,0.04058192955589587
61,0.00927921839431871,0.002511661284535343
62,0.04989300987604254,0.043151969981238276
63,0.02686580343515618,0.020216606498194945
64,0.052536248289498245,0.04602821083890126
65,-0.010090036174871569,-0.017595307917888565
66,0.01882865556803176,0.010385756676557863
67,0.041528897959228345,0.0322341608002964
68,0.04986139096858016,0.039824625502374866
69,0.04215581328129045,0.03150787696924231
70,0.04311088823516385,0.032
71,0.0413570786814742,0.029944547134935304
72,0.015165050567861313,0.003620564808110065
73,0.03420605536712202,0.022702702702702703
74,0.042427672463539914,0.031136857349746562
75,0.0019304463485043926,-0.008983111749910169
76,0.04369167555787319,0.033308660251665435
77,0.01874348102819768,0.00902853015529072
78,-0.006762976601176734,-0.015691868758915834
79,0.05410006648346537,0.046052631578947366
80,-0.0030863713241299374,-0.010181818181818183
81,0.021518919481797436,0.014249177932042383
82,-0.011347780943238838,-0.01872934263679765
83,0.015361980582086234,0.007947976878612716
84,0.0278516938012087,0.020499440924338426
85,0.04416813285648217,0.03698384201077199
86,0.04061769578301738,0.03371619118191923
87,0.04020703717332598,0.033707865168539325
88,0.0031486217222869866,-0.0028388928317956
89,0.044809270403523546,0.038391224862888484
90,0.021295087998881284,0.014566642388929352
91,-0.0070308396766460965,-0.013950073421439061
92,0.03977010810740258,0.03277494537509104
93,0.05718008557575546,0.05021520803443329
94,0.0252407301606542,0.01840030041306797
95,-0.012573190213050657,-0.01920985864443639
96,0.05152227208645641,0.04515173945225759
97,0.030051616671185947,0.022820800598578377
98,0.04039484322010761,0.03237410071942446
99,0.015171723223751524,0.006456241032998565
100,0.021841778834504257,0.01254930082466834
101,0.010109173435108214,0.0003769317753486619
102,0.0038529257690566796,-0.006166122597025753
103,-0.012342830736937252,-0.02248433468485072
104,0.04715691639853091,0.037063953488372096
105,0.009871781724986883,0.0
106,0.00983969211843476,0.00035829451809387314
107,0.051204282014989666,0.04227405247813411
108,0.02860932285026215,0.02037791774731382
109,0.00988900136672628,0.002486678507992895
110,0.017742261973899734,0.011278195488721804
111,0.02902896953331134,0.023588277340957826
112,-0.005845665952873603,-0.01020408163265306
113,0.04698435196021043,0.04256908140403286
114,0.03194651360803269,0.027522935779816515
115,0.027201718417123395,0.022834360275462123
116,0.01486695322001683,0.010634396773010634
117,0.0051118998188495164,0.001104158998895841
118,0.06033108583184309,0.05591866376180102
